code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,at_risk,total_clicks_30d,active_days_30d,unique_sites_30d,avg_clicks_per_active_day,assessment_count_30d,avg_score_30d
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,529.0,22.0,25.0,24.045454545454547,1.0,67.0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,226.0,20.0,20.0,11.3,1.0,73.0
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,259.0,16.0,19.0,16.1875,1.0,75.0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,1,212.0,15.0,17.0,14.133333333333333,1.0,74.0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,667.0,22.0,25.0,30.318181818181817,1.0,62.0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,107.0,12.0,17.0,8.916666666666666,1.0,63.0
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,0,1129.0,19.0,32.0,59.421052631578945,1.0,84.0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,432.0,25.0,25.0,17.28,1.0,80.0
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,338.0,11.0,26.0,30.727272727272727,1.0,76.0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,Pass,0,759.0,23.0,31.0,33.0,1.0,85.0
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,1,217.0,5.0,24.0,43.4,0.0,0.0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,0,169.0,6.0,19.0,28.166666666666668,1.0,57.0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,167.0,13.0,23.0,12.846153846153847,1.0,66.0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,404.0,19.0,29.0,21.263157894736842,1.0,80.0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,0,978.0,25.0,29.0,39.12,1.0,81.0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,Pass,0,315.0,8.0,18.0,39.375,1.0,66.0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,0,276.0,17.0,27.0,16.235294117647058,1.0,74.0
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,0,455.0,18.0,26.0,25.27777777777778,1.0,76.0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,0,205.0,13.0,15.0,15.76923076923077,1.0,72.0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,0,51.0,6.0,6.0,8.5,1.0,73.0
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,635.0,19.0,27.0,33.421052631578945,1.0,75.0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,0,270.0,16.0,27.0,16.875,1.0,69.0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,1,340.0,24.0,30.0,14.166666666666666,1.0,85.0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,0,113.0,6.0,11.0,18.833333333333332,1.0,63.0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,579.0,17.0,24.0,34.05882352941177,1.0,87.0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,1,55.0,9.0,8.0,6.111111111111111,0.0,0.0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,1,204.0,14.0,21.0,14.571428571428571,1.0,72.0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,813.0,22.0,24.0,36.95454545454545,1.0,72.0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,0,476.0,15.0,25.0,31.733333333333334,1.0,77.0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,1,7.0,3.0,3.0,2.3333333333333335,0.0,0.0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,0,309.0,12.0,24.0,25.75,1.0,65.0
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,973.0,28.0,49.0,34.75,1.0,61.0
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,0,181.0,8.0,19.0,22.625,1.0,75.0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,1,82.0,5.0,15.0,16.4,1.0,52.0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,1,296.0,23.0,22.0,12.869565217391305,1.0,77.0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,1,23.0,3.0,5.0,7.666666666666667,0.0,0.0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,1,543.0,26.0,25.0,20.884615384615383,1.0,68.0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,0,37.0,5.0,7.0,7.4,1.0,54.0
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,0,366.0,13.0,23.0,28.153846153846153,1.0,75.0
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,0,739.0,27.0,23.0,27.37037037037037,1.0,82.0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,1,278.0,10.0,22.0,27.8,1.0,85.0
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,302.0,13.0,20.0,23.23076923076923,1.0,79.0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,1,412.0,20.0,26.0,20.6,1.0,65.0
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0,78.0,5.0,12.0,15.6,1.0,82.0
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,0,290.0,13.0,21.0,22.307692307692307,1.0,60.0
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,Oct-20,35-55,0,60,N,Pass,0,272.0,10.0,25.0,27.2,1.0,76.0
AAA,2013J,172112,M,Ireland,HE Qualification,?,35-55,0,60,N,Pass,0,242.0,14.0,22.0,17.285714285714285,1.0,60.0
AAA,2013J,172797,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,Pass,0,108.0,7.0,19.0,15.428571428571429,1.0,60.0
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,1243.0,30.0,31.0,41.43333333333333,1.0,83.0
AAA,2013J,175392,M,North Region,HE Qualification,?,35-55,0,60,N,Pass,0,978.0,29.0,38.0,33.724137931034484,1.0,85.0
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,0,422.0,19.0,21.0,22.210526315789473,1.0,76.0
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,1,92.0,4.0,11.0,23.0,1.0,51.0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,0,503.0,24.0,19.0,20.958333333333332,1.0,61.0
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,1,345.0,13.0,24.0,26.53846153846154,1.0,76.0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,0,461.0,20.0,26.0,23.05,1.0,57.0
AAA,2013J,183947,M,London Region,A Level or Equivalent,Oct-20,0-35,0,180,N,Pass,0,247.0,8.0,30.0,30.875,1.0,67.0
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,0,295.0,20.0,23.0,14.75,1.0,65.0
AAA,2013J,185439,M,London Region,HE Qualification,Oct-20,0-35,0,120,N,Fail,1,200.0,8.0,21.0,25.0,1.0,74.0
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,0,402.0,17.0,20.0,23.647058823529413,0.0,0.0
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,0,1839.0,29.0,27.0,63.41379310344828,1.0,88.0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,1,913.0,21.0,36.0,43.476190476190474,1.0,76.0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,478.0,17.0,32.0,28.11764705882353,1.0,76.0
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,0,555.0,26.0,24.0,21.346153846153847,1.0,75.0
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,1,167.0,7.0,18.0,23.857142857142858,0.0,0.0
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,0,210.0,15.0,27.0,14.0,1.0,69.0
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,1,639.0,16.0,27.0,39.9375,1.0,68.0
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,440.0,19.0,26.0,23.157894736842106,1.0,75.0
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,1,221.0,9.0,21.0,24.555555555555557,1.0,67.0
AAA,2013J,227499,F,London Region,A Level or Equivalent,Oct-20,35-55,0,60,N,Distinction,0,618.0,24.0,23.0,25.75,1.0,84.0
AAA,2013J,227517,M,Ireland,HE Qualification,?,0-35,0,180,N,Fail,1,437.0,16.0,22.0,27.3125,1.0,63.0
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,0,70.0,7.0,10.0,10.0,1.0,58.0
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,0,69.0,6.0,17.0,11.5,1.0,71.0
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,167.0,11.0,24.0,15.181818181818182,1.0,64.0
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0,155.0,19.0,16.0,8.157894736842104,1.0,81.0
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,0,360.0,15.0,19.0,24.0,1.0,80.0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,1,108.0,12.0,14.0,9.0,1.0,65.0
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,0,158.0,7.0,20.0,22.571428571428573,1.0,85.0
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,361.0,24.0,30.0,15.041666666666666,1.0,83.0
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,0,54.0,5.0,10.0,10.8,1.0,82.0
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,160.0,6.0,21.0,26.666666666666668,1.0,74.0
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,0,411.0,19.0,27.0,21.63157894736842,1.0,85.0
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,1,255.0,14.0,25.0,18.214285714285715,1.0,51.0
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,0,168.0,9.0,38.0,18.666666666666668,1.0,66.0
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,328.0,14.0,22.0,23.428571428571427,1.0,60.0
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,0,489.0,30.0,30.0,16.3,1.0,77.0
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,0,755.0,29.0,24.0,26.03448275862069,1.0,84.0
AAA,2013J,256815,M,North Western Region,HE Qualification,Oct-20,0-35,0,120,N,Pass,0,77.0,4.0,11.0,19.25,0.0,0.0
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,0,198.0,8.0,24.0,24.75,1.0,58.0
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,0,654.0,26.0,23.0,25.153846153846153,1.0,58.0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,1,148.0,9.0,15.0,16.444444444444443,1.0,55.0
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,0,316.0,14.0,24.0,22.571428571428573,1.0,60.0
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,702.0,21.0,29.0,33.42857142857143,1.0,81.0
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,Oct-20,35-55,0,90,N,Fail,1,739.0,17.0,26.0,43.470588235294116,1.0,64.0
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,1,139.0,5.0,10.0,27.8,1.0,51.0
AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,0,721.0,24.0,23.0,30.041666666666668,1.0,80.0
AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,1,982.0,22.0,30.0,44.63636363636363,1.0,70.0
AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,0,207.0,11.0,25.0,18.818181818181817,1.0,79.0
AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,0,120.0,10.0,13.0,12.0,1.0,70.0
AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,1,31.0,5.0,7.0,6.2,1.0,63.0
AAA,2013J,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,1,24.0,2.0,6.0,12.0,0.0,0.0
AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,654.0,15.0,24.0,43.6,1.0,61.0
AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,87.0,8.0,13.0,10.875,1.0,55.0
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,164.0,9.0,19.0,18.22222222222222,1.0,69.0
AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,0,602.0,17.0,28.0,35.411764705882355,1.0,78.0
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,0,130.0,5.0,16.0,26.0,1.0,75.0
AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,0,1015.0,28.0,37.0,36.25,1.0,85.0
AAA,2013J,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,1,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,0,1.0,1.0,1.0,1.0,0.0,0.0
AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,474.0,18.0,24.0,26.333333333333332,1.0,72.0
AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,208.0,15.0,19.0,13.866666666666667,1.0,61.0
AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,1,257.0,18.0,27.0,14.277777777777779,1.0,38.0
AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,0,434.0,18.0,30.0,24.11111111111111,1.0,91.0
AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,0,154.0,13.0,17.0,11.846153846153847,1.0,77.0
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,0,375.0,19.0,27.0,19.736842105263158,1.0,82.0
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,1,119.0,7.0,12.0,17.0,1.0,58.0
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,1,106.0,5.0,11.0,21.2,1.0,64.0
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,0,391.0,22.0,22.0,17.772727272727273,1.0,75.0
AAA,2013J,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,1,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,0,240.0,15.0,24.0,16.0,1.0,73.0
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,0,221.0,11.0,19.0,20.09090909090909,1.0,81.0
AAA,2013J,306897,F,London Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Pass,0,848.0,30.0,29.0,28.266666666666666,1.0,72.0
AAA,2013J,307061,F,East Midlands Region,HE Qualification,Oct-20,0-35,0,60,N,Pass,0,204.0,12.0,25.0,17.0,1.0,82.0
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,0,399.0,13.0,31.0,30.692307692307693,1.0,47.0
AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,0,422.0,17.0,26.0,24.823529411764707,1.0,55.0
AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,0,3246.0,31.0,30.0,104.70967741935483,1.0,88.0
AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,0,85.0,7.0,9.0,12.142857142857142,1.0,89.0
AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,0,243.0,19.0,21.0,12.789473684210526,1.0,70.0
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,0,710.0,27.0,27.0,26.296296296296298,1.0,77.0
AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,0,2198.0,29.0,27.0,75.79310344827586,1.0,82.0
AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,0,500.0,18.0,25.0,27.77777777777778,1.0,85.0
AAA,2013J,324084,F,South West Region,A Level or Equivalent,Oct-20,35-55,0,60,N,Pass,0,305.0,18.0,18.0,16.944444444444443,1.0,58.0
AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,35.0,7.0,9.0,5.0,1.0,38.0
AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,1,1210.0,25.0,54.0,48.4,1.0,84.0
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,0,202.0,9.0,17.0,22.444444444444443,1.0,69.0
AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,0,45.0,5.0,7.0,9.0,1.0,72.0
AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,0,164.0,7.0,18.0,23.428571428571427,1.0,77.0
AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,1,195.0,10.0,20.0,19.5,1.0,57.0
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,1,116.0,16.0,14.0,7.25,1.0,36.0
AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,1,818.0,25.0,21.0,32.72,1.0,86.0
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,0,486.0,20.0,26.0,24.3,1.0,71.0
AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,0,87.0,5.0,13.0,17.4,1.0,68.0
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail,1,0.0,0.0,0.0,0.0,0.0,0.0
AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn,1,678.0,22.0,32.0,30.818181818181817,1.0,75.0
AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass,0,297.0,14.0,21.0,21.214285714285715,1.0,68.0
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,0,178.0,12.0,19.0,14.833333333333334,1.0,62.0
AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass,0,792.0,20.0,39.0,39.6,1.0,74.0
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Fail,1,28.0,6.0,8.0,4.666666666666667,1.0,61.0
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass,0,102.0,5.0,13.0,20.4,1.0,70.0
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction,0,341.0,17.0,19.0,20.058823529411764,1.0,75.0
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,0,161.0,21.0,17.0,7.666666666666667,1.0,85.0
AAA,2013J,346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail,1,106.0,5.0,12.0,21.2,0.0,0.0
AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass,0,193.0,12.0,27.0,16.083333333333332,1.0,75.0
AAA,2013J,354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn,1,54.0,1.0,13.0,54.0,0.0,0.0
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,Oct-20,0-35,0,60,N,Fail,1,43.0,7.0,6.0,6.142857142857143,1.0,49.0
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,1,174.0,14.0,11.0,12.428571428571429,1.0,64.0
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,0,296.0,14.0,27.0,21.142857142857142,1.0,64.0
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,Oct-20,35-55,0,60,N,Pass,0,398.0,18.0,30.0,22.11111111111111,1.0,68.0
AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,0,282.0,17.0,21.0,16.58823529411765,1.0,88.0
AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass,0,37.0,2.0,10.0,18.5,1.0,54.0
AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail,1,19.0,1.0,7.0,19.0,1.0,61.0
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,0,293.0,12.0,27.0,24.416666666666668,1.0,58.0
AAA,2013J,376439,M,North Region,HE Qualification,?,0-35,0,60,N,Distinction,0,525.0,23.0,23.0,22.82608695652174,1.0,86.0
